"","clone1","clone2","clone3","clone4"
"ST8SIA2",2,3,2,2
"NR2F2-AS1",2,3,2,2
"PGPEP1L",2,3,2,2
"AL022341.1",3,3,2,2
"MSLNL",3,3,2,2
"GNG13",3,3,2,2
"MEIOB",3,3,2,2
"RPL3L",3,3,2,2
"AC009065.1",3,3,2,2
"SEPT12",3,3,2,2
"GRIN2A",3,3,2,2
"SHISA9",3,3,2,2
"VWA3A",3,3,2,2
"SCNN1G",3,3,2,2
"SCNN1B",3,3,2,2
"ERN2",3,3,2,2
"CHP2",3,3,2,2
"C16orf82",3,3,2,2
"GSG1L",3,3,2,2
"ONECUT2",2,1,2,2
"MC4R",2,1,2,2
"SERPINB5",2,1,2,2
"OR7A17",2,2,2,3
"CYP4F8",2,2,2,3
"CYP4F12",2,2,2,3
"OR10H1",2,2,2,3
"CIB3",2,2,2,3
"F2RL3",2,2,2,3
"USHBP1",2,2,2,3
"SLC5A5",2,2,2,3
"PDE4C",2,2,2,3
"TMEM59L",2,2,2,3
"COMP",2,2,2,3
"ZNF729",2,2,2,3
"AC025811.1",2,2,2,3
"ZNF723",2,2,2,3
"ZNF728",2,2,2,3
"AC092329.1",2,2,2,3
"AC005307.1",2,2,2,3
"AC011524.1",2,2,2,3
"ADIPOQ",3,3,5,2
"HSD17B3",3,3,3,2
"TMEM179",2,1,1,1
"GUCA2B",2,2,2,3
"PROK1",3,3,2,2
"MID1IP1-AS1",2,2,2,3
"MOGAT2",2,2,3,2
"LINC00524",2,1,1,1
"AC025166.1",2,3,2,2
"BOD1L2",2,1,2,2
